gu,subway,university,office,police,hospital,bigmart,star
강남구,17,1,72511 ,16,4,32,60
강동구,11,0,29952 ,9,3,16,13
강북구,3,1,18928 ,10,1,13,5
강서구,10,2,36556 ,11,3,18,14
관악구,4,1,26374 ,11,2,21,10
광진구,11,3,24688 ,10,2,19,14
구로구,7,3,38405 ,8,2,21,10
금천구,1,0,31750 ,5,1,16,10
노원구,13,7,26516 ,9,3,14,12
도봉구,3,1,18351 ,9,1,9,2
동대문구,6,5,32411 ,11,5,22,8
동작구,12,3,19966 ,8,2,6,8
마포구,16,3,36325 ,9,0,15,32
서대문구,5,9,19852 ,9,2,9,21
서초구,12,3,46207 ,13,1,27,45
성동구,14,2,27278 ,10,1,13,9
성북구,9,7,24039 ,12,1,20,10
송파구,21,1,46676 ,11,2,23,29
양천구,5,0,26077 ,9,2,13,14
영등포구,11,0,43163 ,11,7,28,35
용산구,10,2,20806 ,9,1,15,17
은평구,13,1,24561 ,11,1,18,8
종로구,15,6,40490 ,23,4,12,37
중구,23,2,62936 ,17,3,53,50
중랑구,7,1,28045 ,9,3,14,6
